id,label
0,0
1,0
2,0
3,0
4,0
5,1
6,1
7,1
8,1
9,0
10,1
11,0
12,0
13,1
14,0
15,0
16,0
17,1
18,1
19,1
20,0
21,1
22,0
23,1
24,1
25,0
26,1
27,0
28,1
29,0
30,1
31,1
32,0
33,0
34,1
35,1
36,0
37,0
38,1
39,0
40,0
41,1
42,1
43,0
44,0
45,1
46,0
47,0
48,0
49,0
50,1
51,1
52,0
53,0
54,0
55,0
56,0
57,1
58,0
59,0
60,1
61,0
62,1
63,0
64,0
65,0
66,1
67,1
68,0
69,1
70,0
71,1
72,0
73,0
74,1
75,1
76,0
77,1
78,1
79,0
80,0
81,0
82,1
83,0
84,1
85,0
86,0
87,0
88,1
89,0
90,0
91,1
92,1
93,0
94,0
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,0
105,0
106,1
107,1
108,0
109,0
110,1
111,1
112,0
113,1
114,0
115,0
116,1
117,1
118,0
119,0
120,1
121,1
122,0
123,1
124,0
125,1
126,0
127,1
128,1
129,0
130,0
131,1
132,0
133,1
134,1
135,1
136,1
137,0
138,1
139,0
140,1
141,1
142,0
143,0
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,0
153,1
154,1
155,1
156,0
157,0
158,0
159,1
160,0
161,0
162,0
163,1
164,0
165,0
166,1
167,0
168,1
169,1
170,1
171,0
172,1
173,1
174,1
175,1
176,0
177,0
178,1
179,0
180,1
181,0
182,0
183,1
184,0
185,0
186,0
187,1
188,0
189,0
190,0
191,1
192,0
193,0
194,1
195,0
196,0
197,0
198,1
199,0
200,1
201,0
202,1
203,1
204,0
205,0
206,0
207,1
208,0
209,1
210,1
211,1
212,0
213,0
214,1
215,1
216,1
217,0
218,0
219,0
220,1
221,0
222,0
223,1
224,0
225,0
226,1
227,1
228,0
229,1
230,1
231,1
232,0
233,1
234,1
235,0
236,1
237,0
238,1
239,0
240,1
241,0
242,1
243,0
244,1
245,0
246,0
247,1
248,1
249,0
250,1
251,1
252,1
253,0
254,1
255,0
256,1
257,1
258,1
259,0
260,1
261,0
262,1
263,1
264,0
265,0
266,0
267,1
268,0
269,1
270,1
271,0
272,1
273,1
274,1
275,1
276,0
277,0
278,0
279,0
280,0
281,1
282,0
283,0
284,1
285,0
286,0
287,1
288,1
289,1
290,1
291,1
292,1
293,0
294,1
295,1
296,0
297,1
298,0
299,0
300,0
301,0
302,0
303,1
304,1
305,0
306,1
307,0
308,0
309,0
310,0
311,0
312,1
313,0
314,1
315,1
316,0
317,0
318,1
319,0
320,1
321,1
322,0
323,0
324,1
325,0
326,1
327,1
328,1
329,1
330,1
331,0
332,0
333,0
334,1
335,0
336,0
337,1
338,1
339,1
340,1
341,1
342,1
343,0
344,1
345,1
346,1
347,0
348,1
349,1
350,0
351,1
352,0
353,0
354,0
355,1
356,1
357,1
358,0
359,1
360,0
361,0
362,0
363,1
364,0
365,1
366,1
367,1
368,0
369,1
370,0
371,1
372,1
373,1
374,0
375,0
376,0
377,0
378,1
379,1
380,0
381,1
382,1
383,1
384,0
385,0
386,0
387,0
388,1
389,1
390,1
391,0
392,1
393,0
394,0
395,1
396,0
397,1
398,1
399,0
400,0
401,0
402,1
403,1
404,1
405,0
406,1
407,1
408,1
409,0
410,1
411,0
412,0
413,0
414,1
415,0
416,0
417,1
418,0
419,1
420,0
421,1
422,1
423,1
424,0
425,1
426,1
427,1
428,0
429,0
430,1
431,1
432,1
433,0
434,0
435,0
436,1
437,0
438,0
439,0
440,0
441,0
442,1
443,1
444,0
445,0
446,0
447,0
448,1
449,0
450,1
451,0
452,0
453,0
454,1
455,1
456,0
457,0
458,0
459,1
460,0
461,1
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,1
476,0
477,1
478,0
479,1
480,1
481,0
482,0
483,0
484,1
485,0
486,0
487,0
488,1
489,1
490,0
491,0
492,1
493,1
494,1
495,0
496,1
497,0
498,0
499,0
500,0
501,1
502,0
503,0
504,0
505,0
506,1
507,1
508,1
509,1
510,1
511,0
512,1
513,1
514,0
515,1
516,1
517,1
518,0
519,0
520,0
521,0
522,1
523,1
524,1
525,1
526,0
527,0
528,1
529,1
530,1
531,0
532,0
